Gene,Entity_type,N_regions,Total_bases,Mean_coverage,Median_coverage,Min_region_coverage,Low_regions_any,Recurrent_low_regions,Est_pct_bases_ge20,Est_pct_bases_low20,Default_status
LOC124900162,Non-coding/other,1,159.0,127.59,127.59,127.59,0,0,1.0,0.0,OK
LOC124900167,Non-coding/other,5,417.0,129.34,123.53,71.88,0,0,1.0,0.0,OK
LOC124900194,Non-coding/other,2,246.0,32.29,32.29,16.12,1,1,0.7,0.3,FAIL
LOC124900215,Non-coding/other,1,62.0,217.29,217.29,217.29,0,0,1.0,0.0,OK
LOC124900389,Non-coding/other,1,364.0,96.82,96.82,96.82,0,0,1.0,0.0,OK
LOC124900597,Non-coding/other,3,837.0,145.63,155.88,98.53,0,0,1.0,0.0,OK
LOC124900618,Non-coding/other,1,117.0,12.65,12.65,12.65,1,1,0.24,0.76,FAIL
LOC124900690,Non-coding/other,1,128.0,113.53,113.53,113.53,0,0,1.0,0.0,OK
LOC124900711,Non-coding/other,1,86.0,71.24,71.24,71.24,0,0,1.0,0.0,OK
LOC124900715,Non-coding/other,1,1.0,19.12,19.12,19.12,1,1,0.47,0.53,FAIL
LOC124901007,Non-coding/other,1,1.0,62.94,62.94,62.94,0,0,1.0,0.0,WARNING
LOC124901057,Non-coding/other,1,92.0,162.88,162.88,162.88,0,0,1.0,0.0,OK
LOC124901069,Non-coding/other,1,162.0,159.35,159.35,159.35,0,0,1.0,0.0,OK
LOC124901165,Non-coding/other,1,33.0,33.76,33.76,33.76,0,0,1.0,0.0,FAIL
LOC124901235,Non-coding/other,3,921.0,157.9,67.82,64.12,0,0,1.0,0.0,OK
LOC124901323,Non-coding/other,1,1.0,139.76,139.76,139.76,0,0,1.0,0.0,OK
LOC124901339,Non-coding/other,1,276.0,62.35,62.35,62.35,0,0,1.0,0.0,WARNING
LOC124901354,Non-coding/other,2,177.0,70.82,70.82,58.0,0,0,1.0,0.0,OK
LOC124901435,Non-coding/other,2,2.0,104.18,104.18,88.76,0,0,1.0,0.0,OK
LOC124901471,Non-coding/other,1,6.0,147.82,147.82,147.82,0,0,1.0,0.0,OK
LOC124901490,Non-coding/other,1,36.0,131.0,131.0,131.0,0,0,1.0,0.0,OK
LOC124901495,Non-coding/other,1,333.0,113.41,113.41,113.41,0,0,1.0,0.0,OK
LOC124901498,Non-coding/other,5,675.0,66.14,58.06,46.82,0,0,1.0,0.0,WARNING
LOC124901671,Non-coding/other,1,100.0,33.82,33.82,33.82,1,0,0.88,0.12,FAIL
LOC124901777,Non-coding/other,1,52.0,98.59,98.59,98.59,0,0,1.0,0.0,OK
LOC124901807,Non-coding/other,1,1296.0,1570.53,1570.53,1570.53,0,0,1.0,0.0,OK
LOC124902041,Non-coding/other,1,1.0,37.65,37.65,37.65,0,0,1.0,0.0,FAIL
LOC124902201,Non-coding/other,2,300.0,687.38,687.38,647.82,0,0,1.0,0.0,OK
LOC124902211,Non-coding/other,1,753.0,142.06,142.06,142.06,0,0,1.0,0.0,OK
LOC124902246,Non-coding/other,1,37.0,168.82,168.82,168.82,0,0,1.0,0.0,OK
LOC124902280,Non-coding/other,11,11.0,14.3,16.06,0.18,11,10,0.24,0.76,FAIL
LOC124902325,Non-coding/other,1,726.0,327.06,327.06,327.06,0,0,1.0,0.0,OK
LOC124902562,Non-coding/other,1,41.0,97.47,97.47,97.47,0,0,1.0,0.0,OK
LOC124902605,Non-coding/other,1,1098.0,541.24,541.24,541.24,0,0,1.0,0.0,OK
LOC124902638,Non-coding/other,1,1.0,66.71,66.71,66.71,0,0,1.0,0.0,WARNING
LOC124902641,Non-coding/other,4,4.0,10.88,10.03,0.35,4,4,0.22,0.78,FAIL
LOC124902652,Non-coding/other,1,1.0,113.94,113.94,113.94,0,0,1.0,0.0,OK
LOC124902891,Non-coding/other,1,1.0,155.18,155.18,155.18,0,0,1.0,0.0,OK
LOC124902910,Non-coding/other,1,207.0,136.71,136.71,136.71,0,0,1.0,0.0,OK
LOC124903151,Non-coding/other,1,1.0,182.18,182.18,182.18,0,0,1.0,0.0,OK
LOC124903216,Non-coding/other,1,14.0,208.53,208.53,208.53,0,0,1.0,0.0,OK
LOC124903217,Non-coding/other,1,208.0,118.47,118.47,118.47,0,0,1.0,0.0,OK
LOC124903408,Non-coding/other,2,852.0,162.53,162.53,85.24,0,0,1.0,0.0,OK
LOC124903452,Non-coding/other,4,907.0,29.09,16.76,0.18,4,3,0.15,0.85,FAIL
LOC124903571,Non-coding/other,4,2186.0,385.69,164.26,93.35,0,0,1.0,0.0,OK
LOC124903709,Non-coding/other,1,11.0,161.18,161.18,161.18,0,0,1.0,0.0,OK
LOC124903734,Non-coding/other,4,681.0,133.9,131.97,83.76,0,0,1.0,0.0,OK
LOC124903754,Non-coding/other,1,714.0,173.06,173.06,173.06,0,0,1.0,0.0,OK
LOC124903762,Non-coding/other,1,159.0,61.88,61.88,61.88,0,0,1.0,0.0,WARNING
LOC124903767,Non-coding/other,1,522.0,195.0,195.0,195.0,0,0,1.0,0.0,OK
LOC124903823,Non-coding/other,1,654.0,183.29,183.29,183.29,0,0,1.0,0.0,OK
LOC124903837,Non-coding/other,1,220.0,83.24,83.24,83.24,0,0,1.0,0.0,OK
LOC124903840,Non-coding/other,1,14.0,86.88,86.88,86.88,0,0,1.0,0.0,OK
LOC124903972,Non-coding/other,2,352.0,157.79,157.79,152.59,0,0,1.0,0.0,OK
LOC124904079,Non-coding/other,1,21.0,59.65,59.65,59.65,0,0,1.0,0.0,WARNING
LOC124904093,Non-coding/other,2,990.0,269.44,269.44,265.35,0,0,1.0,0.0,OK
LOC124904101,Non-coding/other,2,690.0,111.71,111.71,53.82,0,0,1.0,0.0,OK
